,Position,Cost,Rank,DominationSet,DominatedCount,NormalizedCost,AssociatedRef,DistanceToAssociatedRef
47,"[3.04859817e+02 3.46826053e+02 5.82606579e+01 1.99191779e+02
 5.08588687e+02 4.25847470e+02 1.17665371e+02 4.31323235e-02]","[1946.6802698560773, 1788319.1036173587, 1899614.6910200517]",1,"[66, 70, 98]",0,"[[0.10277819 1.71324302 0.69729263]
 [0.12638685 1.08292061        inf]
 [0.10525486        inf 0.07921205]]",0,
48,"[318.64367281 376.17943015 139.29861133 227.78967063 239.98173456
 194.35590693 134.51911243   5.13950304]","[3153.0244733658947, 850715.7851294564, 5698828.596152333]",1,[],0,"[[0.32658709 0.59483889 6.6519795 ]
 [0.40160577 0.37599061        inf]
 [0.33445694        inf 0.7556611 ]]",0,
49,"[336.19423835 401.84688878 147.63967358 216.18580342 223.5762769
 206.07465876 180.01232632   3.08844426]","[3724.690782422663, 844400.4860949274, 5526139.579082393]",1,[],0,"[[0.43264638 0.58730579 6.38131587]
 [0.5320274  0.37122903        inf]
 [0.44307196        inf 0.72491387]]",0,
50,"[392.35126928 420.98359481 123.33733111 195.17826823 231.73771727
 142.99845761 175.84437793   6.02867267]","[3371.9858967270147, 728859.1742176864, 5661598.765873677]",1,"[64, 71, 88, 97]",0,"[[0.36721025 0.44948431 6.59362744]
 [0.45156027 0.2841137         inf]
 [0.37605901        inf 0.74903234]]",0,
51,"[364.88315374 330.09073212 231.9473657  450.60121304 122.30647712
  92.56704274 221.65749101   6.03521806]","[5226.286139395788, 420119.2025296555, 7127855.845244321]",1,[],0,"[[0.71123221 0.08120909 8.89176121]
 [0.87460579 0.05133131        inf]
 [0.72837095        inf 1.01009903]]",0,
52,"[342.60934127 348.36040609 129.74760016 291.59230665 344.9585167
 334.64981852  97.9768993    1.99985179]","[2657.458212348853, 1337447.2009025407, 3830042.7235550284]",1,[],0,"[[0.23464638 1.17542816 3.7229434 ]
 [0.28854582 0.74297421        inf]
 [0.24030071        inf 0.42292426]]",0,
53,"[403.01998547 242.02283747 114.47938271 234.03142844 473.09529713
 437.15019913 115.50234001   2.        ]","[2641.871741709868, 1789036.682287498, 1717796.107027915]",1,"[66, 70, 85, 98]",0,"[[0.23175468 1.71409897 0.4123198 ]
 [0.28498988 1.08346164        inf]
 [0.23733933        inf 0.0468393 ]]",0,
54,"[282.21910273 411.66970282  63.49180112 304.8479116  251.71368958
 175.89538843 222.34942515   1.03225124]","[3083.9862368186346, 834333.8584140681, 6161118.189851253]",1,[],0,"[[0.31377866 0.57529798 7.37654775]
 [0.38585518 0.36363904        inf]
 [0.32133986        inf 0.83797164]]",0,
55,"[488.65392334 417.46097266 473.96879364 177.15541473 350.15346558
 468.62194099 436.06310876   7.        ]","[10506.948430495551, 1619256.4875315672, 1462618.1004989333]",1,[],0,"[[1.69093537e+00 1.51157956e+00 1.23672960e-02]
 [2.07935163e+00 9.55451525e-01            inf]
 [1.73168225e+00            inf 1.40491781e-03]]",0,
56,"[290.57568012 455.57173999 125.88014424 122.17780191 218.75521124
 217.01258415 175.14968549   2.63091738]","[3397.326096122214, 858081.4630049024, 5224326.222812489]",1,[77],0,"[[0.37191153 0.60362491 5.90826959]
 [0.45734146 0.38154415        inf]
 [0.38087357        inf 0.67117608]]",0,
57,"[386.68922054 372.35687602 218.86614615 264.49855998 158.86670005
 116.29073079 110.7727952    3.5630732 ]","[3925.407270129877, 537520.1413506496, 6606425.769075849]",1,[],0,"[[0.46988462 0.2212488  8.07449929]
 [0.57781945 0.13984875        inf]
 [0.48120754        inf 0.91725854]]",0,
58,"[320.83647224 242.02283747  16.57652811 234.03142844 473.09529713
 437.15019913 115.50234001   2.        ]","[1392.6993029445327, 1789036.682287498, 2102137.3801720715]",1,[],0,"[[0.         1.71409897 1.01471598]
 [0.         1.08346164        inf]
 [0.                inf 0.11527116]]",0,
59,"[275.56553534 455.57173999 125.88014424  35.54304396 218.75521124
 217.01258415 175.14968549 -64.3967497 ]","[3397.326096122214, 635418.3352242673, 5837126.528997115]",1,"[64, 72, 73, 78, 79, 94, 97]",0,"[[0.37191153 0.33802499 6.86874037]
 [0.45734146 0.21366159        inf]
 [0.38087357        inf 0.78028501]]",0,
60,"[259.95504745 423.48408397  91.79389297 176.0857523  195.14943828
 247.16260173 117.18437556   5.75414233]","[2369.6221228157306, 876542.939815986, 5525076.958561536]",1,[80],0,"[[0.18124514 0.62564637 6.37965038]
 [0.22287805 0.39546365        inf]
 [0.18561265        inf 0.72472467]]",0,
61,"[259.95504745 423.48408397  70.99324739 176.0857523  232.2527036
 247.16260173 117.18437556   5.75414233]","[2104.220329596753, 945773.1805085271, 5260353.436700033]",1,[],0,"[[0.13200605 0.70822648 5.96473674]
 [0.1623285  0.44766156        inf]
 [0.13518704        inf 0.67759071]]",0,
62,"[401.54625302 340.79273772 193.14215121 359.70965233 115.45456111
 109.50088008 330.40772508   1.60978658]","[5843.301890487446, 442441.58107482834, 6892501.058187921]",1,[],0,"[[0.82570503 0.10783596 8.52287857]
 [1.01537358 0.06816183        inf]
 [0.84560224        inf 0.96819417]]",0,
63,"[441.16075296 327.22850514 185.15843919 225.35397819 404.74173887
 422.52253661 144.75511524   3.63979304]","[3842.8433674045373, 1631173.2386250189, 1951586.2776364253]",1,[98],0,"[[0.45456682 1.52579425 0.77875015]
 [0.55898308 0.96443646        inf]
 [0.46552063        inf 0.08846558]]",0,
